Gender of Word,Words,,,
Female,affectionate,,,
Female,agree,,,
Female,cheer,,,
Female,child,,,
Female,co-operat,,,
Female,collab,,,
Female,commit,,,
Female,communal,,,
Female,communicate,,,
Female,communicating,,,
Female,communicator,,,
Female,interperson,,,
Female,compassion,,,
Female,connect,,,
Female,considerate,,,
Female,cooperat,,,
Female,depend,,,
Female,emotiona,,,
Female,empath,,,
Female,enthusias,,,
Female,feel,,,
Female,feminine,,,
Female,flatter,,,
Female,gentle,,,
Female,honest,,,
Female,inclusive,,,
Female,inter-dependen,,,
Female,inter-persona,,,
Female,interdependen,,,
Female,kind,,,
Female,kinship,,,
Female,loyal,,,
Female,modesty,,,
Female,nag,,,
Female,nurtur,,,
Female,pleasant,,,
Female,polite,,,
Female,quiet,,,
Female,respon,,,
Female,sensitiv,,,
Female,share,,,
Female,sharin,,,
Female,she,,,
Female,submissive,,,
Female,support,,,
Female,sympath,,,
Female,tender,,,
Female,together,,,
Female,trust,,,
Female,understand,,,
Female,warm,,,
Female,whin,,,
Female,yield,,,
Male,active,,,
Male,adventurous,,,
Male,aggress,,,
Male,ambitio,,,
Male,analy,,,
Male,assert,,,
Male,athlet,,,
Male,autonom,,,
Male,battle,,,
Male,boast,,,
Male,challeng,,,
Male,champion,,,
Male,compet,,,
Male,confident,,,
Male,courag,,,
Male,decid,,,
Male,decisi,,,
Male,defend,,,
Male,determin,,,
Male,domina,,,
Male,driven,,,
Male,fearless,,,
Male,fight,,,
Male,force,,,
Male,forcible,,,
Male,greedy,,,
Male,head-strong,,,
Male,headstrong,,,
Male,hierarch,,,
Male,hostil,,,
Male,impulsive,,,
Male,independen,,,
Male,individual,,,
Male,intellect,,,
Male,lead,,,
Male,logic,,,
Male,masculine,,,
Male,objective,,,
Male,opinion,,,
Male,outspoken,,,
Male,persist,,,
Male,principle,,,
Male,reckless,,,
Male,self-confiden,,,
Male,self-relian,,,
Male,self-sufficien,,,
Male,selfconfiden,,,
Male,selfrelian,,,
Male,selfsufficien,,,
Male,stubborn,,,
Male,superior,,,
Male,unreasonab,,,
